hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,1,PRIVATE 81,0.1131
ARCHER2,AOCC 2.1,1,FIRSTPRIVATE 81,0.1306
ARCHER2,AOCC 2.1,1,COPYPRIVATE 81,0.1491
ARCHER2,AOCC 2.1,1,COPYIN 81,0.1325
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,128,PRIVATE 81,429.7672
ARCHER2,AOCC 2.1,128,FIRSTPRIVATE 81,285.7481
ARCHER2,AOCC 2.1,128,COPYPRIVATE 81,650.1176
ARCHER2,AOCC 2.1,128,COPYIN 81,288.7194
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,16,PRIVATE 81,59.5249
ARCHER2,AOCC 2.1,16,FIRSTPRIVATE 81,63.4371
ARCHER2,AOCC 2.1,16,COPYPRIVATE 81,184.0260
ARCHER2,AOCC 2.1,16,COPYIN 81,124.9610
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,2,PRIVATE 81,0.3694
ARCHER2,AOCC 2.1,2,FIRSTPRIVATE 81,0.3920
ARCHER2,AOCC 2.1,2,COPYPRIVATE 81,0.6513
ARCHER2,AOCC 2.1,2,COPYIN 81,0.4984
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,32,PRIVATE 81,154.6114
ARCHER2,AOCC 2.1,32,FIRSTPRIVATE 81,148.7823
ARCHER2,AOCC 2.1,32,COPYPRIVATE 81,405.8916
ARCHER2,AOCC 2.1,32,COPYIN 81,188.0500
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,4,PRIVATE 81,0.4778
ARCHER2,AOCC 2.1,4,FIRSTPRIVATE 81,0.5128
ARCHER2,AOCC 2.1,4,COPYPRIVATE 81,1.0650
ARCHER2,AOCC 2.1,4,COPYIN 81,0.7812
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,64,PRIVATE 81,264.0266
ARCHER2,AOCC 2.1,64,FIRSTPRIVATE 81,215.3611
ARCHER2,AOCC 2.1,64,COPYPRIVATE 81,366.2271
ARCHER2,AOCC 2.1,64,COPYIN 81,189.4180
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,8,PRIVATE 81,0.7273
ARCHER2,AOCC 2.1,8,FIRSTPRIVATE 81,0.7548
ARCHER2,AOCC 2.1,8,COPYPRIVATE 81,1.6893
ARCHER2,AOCC 2.1,8,COPYIN 81,1.2137
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,1,PRIVATE 81,0.1049
ARCHER2,Cray 10.0,1,FIRSTPRIVATE 81,0.1139
ARCHER2,Cray 10.0,1,COPYPRIVATE 81,0.1257
ARCHER2,Cray 10.0,1,COPYIN 81,0.1111
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,128,PRIVATE 81,219.6657
ARCHER2,Cray 10.0,128,FIRSTPRIVATE 81,214.6781
ARCHER2,Cray 10.0,128,COPYPRIVATE 81,89.3516
ARCHER2,Cray 10.0,128,COPYIN 81,74.4670
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,16,PRIVATE 81,2.5332
ARCHER2,Cray 10.0,16,FIRSTPRIVATE 81,2.9158
ARCHER2,Cray 10.0,16,COPYPRIVATE 81,8.1862
ARCHER2,Cray 10.0,16,COPYIN 81,4.3298
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,2,PRIVATE 81,0.8968
ARCHER2,Cray 10.0,2,FIRSTPRIVATE 81,1.1432
ARCHER2,Cray 10.0,2,COPYPRIVATE 81,2.2370
ARCHER2,Cray 10.0,2,COPYIN 81,1.4595
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,32,PRIVATE 81,1.4938
ARCHER2,Cray 10.0,32,FIRSTPRIVATE 81,1.7854
ARCHER2,Cray 10.0,32,COPYPRIVATE 81,8.4444
ARCHER2,Cray 10.0,32,COPYIN 81,3.5689
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,4,PRIVATE 81,1.2389
ARCHER2,Cray 10.0,4,FIRSTPRIVATE 81,1.5876
ARCHER2,Cray 10.0,4,COPYPRIVATE 81,3.7014
ARCHER2,Cray 10.0,4,COPYIN 81,2.1504
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,64,PRIVATE 81,2.0403
ARCHER2,Cray 10.0,64,FIRSTPRIVATE 81,2.3663
ARCHER2,Cray 10.0,64,COPYPRIVATE 81,11.6656
ARCHER2,Cray 10.0,64,COPYIN 81,4.6138
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,8,PRIVATE 81,1.6687
ARCHER2,Cray 10.0,8,FIRSTPRIVATE 81,1.9919
ARCHER2,Cray 10.0,8,COPYPRIVATE 81,5.0341
ARCHER2,Cray 10.0,8,COPYIN 81,3.2571
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,1,PRIVATE 81,0.1765
ARCHER2,GNU 10.1,1,FIRSTPRIVATE 81,0.2064
ARCHER2,GNU 10.1,1,COPYPRIVATE 81,0.3853
ARCHER2,GNU 10.1,1,COPYIN 81,0.2789
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,128,PRIVATE 81,29.4566
ARCHER2,GNU 10.1,128,FIRSTPRIVATE 81,23.1622
ARCHER2,GNU 10.1,128,COPYPRIVATE 81,30.8637
ARCHER2,GNU 10.1,128,COPYIN 81,26.2226
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,16,PRIVATE 81,3.1231
ARCHER2,GNU 10.1,16,FIRSTPRIVATE 81,3.0346
ARCHER2,GNU 10.1,16,COPYPRIVATE 81,5.5335
ARCHER2,GNU 10.1,16,COPYIN 81,4.0125
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,2,PRIVATE 81,0.3723
ARCHER2,GNU 10.1,2,FIRSTPRIVATE 81,0.4014
ARCHER2,GNU 10.1,2,COPYPRIVATE 81,0.7637
ARCHER2,GNU 10.1,2,COPYIN 81,0.5243
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,32,PRIVATE 81,5.9814
ARCHER2,GNU 10.1,32,FIRSTPRIVATE 81,5.9628
ARCHER2,GNU 10.1,32,COPYPRIVATE 81,9.8981
ARCHER2,GNU 10.1,32,COPYIN 81,7.2119
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,4,PRIVATE 81,0.4357
ARCHER2,GNU 10.1,4,FIRSTPRIVATE 81,0.4601
ARCHER2,GNU 10.1,4,COPYPRIVATE 81,1.1256
ARCHER2,GNU 10.1,4,COPYIN 81,0.6646
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,64,PRIVATE 81,10.8251
ARCHER2,GNU 10.1,64,FIRSTPRIVATE 81,10.6498
ARCHER2,GNU 10.1,64,COPYPRIVATE 81,16.4251
ARCHER2,GNU 10.1,64,COPYIN 81,12.8369
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,8,PRIVATE 81,0.7775
ARCHER2,GNU 10.1,8,FIRSTPRIVATE 81,0.8142
ARCHER2,GNU 10.1,8,COPYPRIVATE 81,1.7345
ARCHER2,GNU 10.1,8,COPYIN 81,1.1098
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,1,PRIVATE 81,0.4349
Cirrus,GNU 6.3,1,FIRSTPRIVATE 81,0.4652
Cirrus,GNU 6.3,1,COPYPRIVATE 81,1.1277
Cirrus,GNU 6.3,1,COPYIN 81,0.7639
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,16,PRIVATE 81,3.1914
Cirrus,GNU 6.3,16,FIRSTPRIVATE 81,3.2497
Cirrus,GNU 6.3,16,COPYPRIVATE 81,6.6905
Cirrus,GNU 6.3,16,COPYIN 81,4.4217
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,2,PRIVATE 81,1.0447
Cirrus,GNU 6.3,2,FIRSTPRIVATE 81,1.0724
Cirrus,GNU 6.3,2,COPYPRIVATE 81,2.1230
Cirrus,GNU 6.3,2,COPYIN 81,1.4755
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,32,PRIVATE 81,5.6257
Cirrus,GNU 6.3,32,FIRSTPRIVATE 81,5.8371
Cirrus,GNU 6.3,32,COPYPRIVATE 81,9.8102
Cirrus,GNU 6.3,32,COPYIN 81,7.5794
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,4,PRIVATE 81,1.3640
Cirrus,GNU 6.3,4,FIRSTPRIVATE 81,1.4093
Cirrus,GNU 6.3,4,COPYPRIVATE 81,3.2281
Cirrus,GNU 6.3,4,COPYIN 81,2.4229
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,8,PRIVATE 81,1.9400
Cirrus,GNU 6.3,8,FIRSTPRIVATE 81,1.9900
Cirrus,GNU 6.3,8,COPYPRIVATE 81,4.0593
Cirrus,GNU 6.3,8,COPYIN 81,2.6313
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,1,PRIVATE 81,0.4290
Cirrus,GNU 8.2,1,FIRSTPRIVATE 81,0.4562
Cirrus,GNU 8.2,1,COPYPRIVATE 81,1.1213
Cirrus,GNU 8.2,1,COPYIN 81,0.7556
hardware_platform,compiler,threads_num,directive_name,overhead
