hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,8,STATIC,0.9288
ARCHER2,Cray 10.0,8,STATIC 1,1.2145
ARCHER2,Cray 10.0,8,STATIC 2,1.0337
ARCHER2,Cray 10.0,8,STATIC 4,1.0271
ARCHER2,Cray 10.0,8,STATIC 8,1.0010
ARCHER2,Cray 10.0,8,STATIC 16,0.9780
ARCHER2,Cray 10.0,8,STATIC 32,0.9749
ARCHER2,Cray 10.0,8,STATIC 64,0.9635
ARCHER2,Cray 10.0,8,STATIC 128,0.9701
ARCHER2,Cray 10.0,8,DYNAMIC 1,96.1850
ARCHER2,Cray 10.0,8,DYNAMIC 2,42.1732
ARCHER2,Cray 10.0,8,DYNAMIC 4,14.9529
ARCHER2,Cray 10.0,8,DYNAMIC 8,3.4699
ARCHER2,Cray 10.0,8,DYNAMIC 16,2.5590
ARCHER2,Cray 10.0,8,DYNAMIC 32,2.0659
ARCHER2,Cray 10.0,8,DYNAMIC 64,1.8551
ARCHER2,Cray 10.0,8,DYNAMIC 128,1.7216
ARCHER2,Cray 10.0,8,GUIDED 1,7.4124
ARCHER2,Cray 10.0,8,GUIDED 2,5.7995
ARCHER2,Cray 10.0,8,GUIDED 4,4.1858
ARCHER2,Cray 10.0,8,GUIDED 8,3.3836
ARCHER2,Cray 10.0,8,GUIDED 16,3.1198
