hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,16,STATIC,1.4474
Cirrus,GNU 6.3,16,STATIC 1,1.0266
Cirrus,GNU 6.3,16,STATIC 2,1.0010
Cirrus,GNU 6.3,16,STATIC 4,1.1665
Cirrus,GNU 6.3,16,STATIC 8,1.1850
Cirrus,GNU 6.3,16,STATIC 16,1.2503
Cirrus,GNU 6.3,16,STATIC 32,1.2858
Cirrus,GNU 6.3,16,STATIC 64,1.2979
Cirrus,GNU 6.3,16,STATIC 128,1.2834
Cirrus,GNU 6.3,16,DYNAMIC 1,148.1235
Cirrus,GNU 6.3,16,DYNAMIC 2,58.9496
Cirrus,GNU 6.3,16,DYNAMIC 4,22.3732
Cirrus,GNU 6.3,16,DYNAMIC 8,7.3635
Cirrus,GNU 6.3,16,DYNAMIC 16,4.9631
Cirrus,GNU 6.3,16,DYNAMIC 32,4.4618
Cirrus,GNU 6.3,16,DYNAMIC 64,4.2604
Cirrus,GNU 6.3,16,DYNAMIC 128,4.3968
Cirrus,GNU 6.3,16,GUIDED 1,16.8212
Cirrus,GNU 6.3,16,GUIDED 2,15.0439
Cirrus,GNU 6.3,16,GUIDED 4,12.8610
Cirrus,GNU 6.3,16,GUIDED 8,10.6430
