hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,4,STATIC,0.5397
ARCHER2,GNU 10.1,4,STATIC 1,0.1299
ARCHER2,GNU 10.1,4,STATIC 2,0.6989
ARCHER2,GNU 10.1,4,STATIC 4,0.3981
ARCHER2,GNU 10.1,4,STATIC 8,0.2614
ARCHER2,GNU 10.1,4,STATIC 16,0.2450
ARCHER2,GNU 10.1,4,STATIC 32,0.1339
ARCHER2,GNU 10.1,4,STATIC 64,0.1853
ARCHER2,GNU 10.1,4,STATIC 128,0.1848
ARCHER2,GNU 10.1,4,DYNAMIC 1,5.0527
ARCHER2,GNU 10.1,4,DYNAMIC 2,4.6719
ARCHER2,GNU 10.1,4,DYNAMIC 4,4.2185
ARCHER2,GNU 10.1,4,DYNAMIC 8,2.7287
ARCHER2,GNU 10.1,4,DYNAMIC 16,1.9816
ARCHER2,GNU 10.1,4,DYNAMIC 32,1.6225
ARCHER2,GNU 10.1,4,DYNAMIC 64,1.3899
ARCHER2,GNU 10.1,4,DYNAMIC 128,1.2024
ARCHER2,GNU 10.1,4,GUIDED 1,2.4581
ARCHER2,GNU 10.1,4,GUIDED 2,2.2044
ARCHER2,GNU 10.1,4,GUIDED 4,1.8480
ARCHER2,GNU 10.1,4,GUIDED 8,1.8899
ARCHER2,GNU 10.1,4,GUIDED 16,2.1969
ARCHER2,GNU 10.1,4,GUIDED 32,1.5943
