hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,8,STATIC,0.4692
Cirrus,GNU 8.2,8,STATIC 1,0.5991
Cirrus,GNU 8.2,8,STATIC 2,0.7438
Cirrus,GNU 8.2,8,STATIC 4,0.7248
Cirrus,GNU 8.2,8,STATIC 8,0.6580
Cirrus,GNU 8.2,8,STATIC 16,0.6531
Cirrus,GNU 8.2,8,STATIC 32,0.6926
Cirrus,GNU 8.2,8,STATIC 64,0.7832
Cirrus,GNU 8.2,8,STATIC 128,0.7797
Cirrus,GNU 8.2,8,DYNAMIC 1,71.0797
Cirrus,GNU 8.2,8,DYNAMIC 2,22.0260
Cirrus,GNU 8.2,8,DYNAMIC 4,7.0249
Cirrus,GNU 8.2,8,DYNAMIC 8,4.6310
Cirrus,GNU 8.2,8,DYNAMIC 16,3.7082
Cirrus,GNU 8.2,8,DYNAMIC 32,3.2273
Cirrus,GNU 8.2,8,DYNAMIC 64,3.0165
Cirrus,GNU 8.2,8,DYNAMIC 128,2.8365
Cirrus,GNU 8.2,8,GUIDED 1,7.2437
Cirrus,GNU 8.2,8,GUIDED 2,6.6277
Cirrus,GNU 8.2,8,GUIDED 4,5.4747
Cirrus,GNU 8.2,8,GUIDED 8,4.5865
Cirrus,GNU 8.2,8,GUIDED 16,4.2162
