hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,8,STATIC,7.7546
Fulhame,ARM 20.0,8,STATIC 1,3.2205
Fulhame,ARM 20.0,8,STATIC 2,1.9422
Fulhame,ARM 20.0,8,STATIC 4,1.7792
Fulhame,ARM 20.0,8,STATIC 8,2.2045
Fulhame,ARM 20.0,8,STATIC 16,3.2311
Fulhame,ARM 20.0,8,STATIC 32,3.0625
Fulhame,ARM 20.0,8,STATIC 64,3.0175
Fulhame,ARM 20.0,8,STATIC 128,3.0416
Fulhame,ARM 20.0,8,DYNAMIC 1,326.2402
Fulhame,ARM 20.0,8,DYNAMIC 2,162.3382
Fulhame,ARM 20.0,8,DYNAMIC 4,75.2984
Fulhame,ARM 20.0,8,DYNAMIC 8,28.4624
Fulhame,ARM 20.0,8,DYNAMIC 16,9.7736
Fulhame,ARM 20.0,8,DYNAMIC 32,7.3656
Fulhame,ARM 20.0,8,DYNAMIC 64,6.2675
Fulhame,ARM 20.0,8,DYNAMIC 128,5.5865
Fulhame,ARM 20.0,8,GUIDED 1,23.4925
Fulhame,ARM 20.0,8,GUIDED 2,19.1841
Fulhame,ARM 20.0,8,GUIDED 4,15.2102
Fulhame,ARM 20.0,8,GUIDED 8,11.5376
Fulhame,ARM 20.0,8,GUIDED 16,7.4645
