hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,32,STATIC,73.2574
Fulhame,ARM 20.0,32,STATIC 1,58.5563
Fulhame,ARM 20.0,32,STATIC 2,44.9616
Fulhame,ARM 20.0,32,STATIC 4,31.5497
Fulhame,ARM 20.0,32,STATIC 8,19.8807
Fulhame,ARM 20.0,32,STATIC 16,13.0387
Fulhame,ARM 20.0,32,STATIC 32,7.0412
Fulhame,ARM 20.0,32,STATIC 64,6.4190
Fulhame,ARM 20.0,32,STATIC 128,5.1170
Fulhame,ARM 20.0,32,DYNAMIC 1,1580.5117
Fulhame,ARM 20.0,32,DYNAMIC 2,719.0522
Fulhame,ARM 20.0,32,DYNAMIC 4,344.5372
Fulhame,ARM 20.0,32,DYNAMIC 8,199.4621
Fulhame,ARM 20.0,32,DYNAMIC 16,124.5921
Fulhame,ARM 20.0,32,DYNAMIC 32,69.9003
Fulhame,ARM 20.0,32,DYNAMIC 64,27.8504
Fulhame,ARM 20.0,32,DYNAMIC 128,12.3781
Fulhame,ARM 20.0,32,GUIDED 1,171.8951
Fulhame,ARM 20.0,32,GUIDED 2,136.3799
Fulhame,ARM 20.0,32,GUIDED 4,111.9638
