hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,1,STATIC,-0.1284
ARCHER2,AOCC 2.1,1,STATIC 1,0.0529
ARCHER2,AOCC 2.1,1,STATIC 2,0.0997
ARCHER2,AOCC 2.1,1,STATIC 4,0.0682
ARCHER2,AOCC 2.1,1,STATIC 8,0.0597
ARCHER2,AOCC 2.1,1,STATIC 16,0.0463
ARCHER2,AOCC 2.1,1,STATIC 32,0.0648
ARCHER2,AOCC 2.1,1,STATIC 64,0.1056
ARCHER2,AOCC 2.1,1,STATIC 128,0.0665
ARCHER2,AOCC 2.1,1,DYNAMIC 1,-0.0738
ARCHER2,AOCC 2.1,1,DYNAMIC 2,-0.0798
ARCHER2,AOCC 2.1,1,DYNAMIC 4,-0.0721
ARCHER2,AOCC 2.1,1,DYNAMIC 8,-0.0921
ARCHER2,AOCC 2.1,1,DYNAMIC 16,-0.0719
ARCHER2,AOCC 2.1,1,DYNAMIC 32,-0.0815
ARCHER2,AOCC 2.1,1,DYNAMIC 64,-0.0805
ARCHER2,AOCC 2.1,1,DYNAMIC 128,-0.0783
ARCHER2,AOCC 2.1,1,GUIDED 1,-0.0840
ARCHER2,AOCC 2.1,1,GUIDED 2,-0.0907
ARCHER2,AOCC 2.1,1,GUIDED 4,-0.0788
ARCHER2,AOCC 2.1,1,GUIDED 8,-0.0931
ARCHER2,AOCC 2.1,1,GUIDED 16,-0.1069
ARCHER2,AOCC 2.1,1,GUIDED 32,-0.0855
ARCHER2,AOCC 2.1,1,GUIDED 64,-0.0917
ARCHER2,AOCC 2.1,1,GUIDED 128,-0.0880
