hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 9.2,8,STATIC,1.4749
Fulhame,GNU 9.2,8,STATIC 1,1.9634
Fulhame,GNU 9.2,8,STATIC 2,1.9573
Fulhame,GNU 9.2,8,STATIC 4,1.9103
Fulhame,GNU 9.2,8,STATIC 8,1.7772
Fulhame,GNU 9.2,8,STATIC 16,2.3385
Fulhame,GNU 9.2,8,STATIC 32,2.3117
Fulhame,GNU 9.2,8,STATIC 64,2.2396
Fulhame,GNU 9.2,8,STATIC 128,2.1759
Fulhame,GNU 9.2,8,DYNAMIC 1,291.2172
Fulhame,GNU 9.2,8,DYNAMIC 2,172.0454
Fulhame,GNU 9.2,8,DYNAMIC 4,72.6779
Fulhame,GNU 9.2,8,DYNAMIC 8,29.4533
Fulhame,GNU 9.2,8,DYNAMIC 16,8.2865
Fulhame,GNU 9.2,8,DYNAMIC 32,5.7779
Fulhame,GNU 9.2,8,DYNAMIC 64,4.6176
Fulhame,GNU 9.2,8,DYNAMIC 128,4.1764
Fulhame,GNU 9.2,8,GUIDED 1,10.6935
Fulhame,GNU 9.2,8,GUIDED 2,9.7935
Fulhame,GNU 9.2,8,GUIDED 4,8.1285
Fulhame,GNU 9.2,8,GUIDED 8,6.9261
Fulhame,GNU 9.2,8,GUIDED 16,5.1086
