hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 9.2,64,STATIC,296.1921
Fulhame,GNU 9.2,64,STATIC 1,203.5719
Fulhame,GNU 9.2,64,STATIC 2,127.1110
Fulhame,GNU 9.2,64,STATIC 4,47.9401
Fulhame,GNU 9.2,64,STATIC 8,54.3477
Fulhame,GNU 9.2,64,STATIC 16,99.6978
Fulhame,GNU 9.2,64,STATIC 32,95.4748
Fulhame,GNU 9.2,64,STATIC 64,70.0452
Fulhame,GNU 9.2,64,STATIC 128,73.8093
Fulhame,GNU 9.2,64,DYNAMIC 1,10367.9306
Fulhame,GNU 9.2,64,DYNAMIC 2,5190.3627
Fulhame,GNU 9.2,64,DYNAMIC 4,2577.6437
Fulhame,GNU 9.2,64,DYNAMIC 8,1308.4058
Fulhame,GNU 9.2,64,DYNAMIC 16,649.6172
Fulhame,GNU 9.2,64,DYNAMIC 32,339.8779
Fulhame,GNU 9.2,64,DYNAMIC 64,172.4442
Fulhame,GNU 9.2,64,DYNAMIC 128,85.0065
Fulhame,GNU 9.2,64,GUIDED 1,460.4953
Fulhame,GNU 9.2,64,GUIDED 2,446.3730
