hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,Intel 19.0,4,STATIC,0.4883
Cirrus,Intel 19.0,4,STATIC 1,0.4838
Cirrus,Intel 19.0,4,STATIC 2,0.4851
Cirrus,Intel 19.0,4,STATIC 4,0.6499
Cirrus,Intel 19.0,4,STATIC 8,0.5874
Cirrus,Intel 19.0,4,STATIC 16,0.7050
Cirrus,Intel 19.0,4,STATIC 32,0.7797
Cirrus,Intel 19.0,4,STATIC 64,0.7942
Cirrus,Intel 19.0,4,STATIC 128,0.8025
Cirrus,Intel 19.0,4,DYNAMIC 1,29.3432
Cirrus,Intel 19.0,4,DYNAMIC 2,9.8673
Cirrus,Intel 19.0,4,DYNAMIC 4,5.6640
Cirrus,Intel 19.0,4,DYNAMIC 8,3.8426
Cirrus,Intel 19.0,4,DYNAMIC 16,3.1350
Cirrus,Intel 19.0,4,DYNAMIC 32,2.6471
Cirrus,Intel 19.0,4,DYNAMIC 64,2.6388
Cirrus,Intel 19.0,4,DYNAMIC 128,2.5659
Cirrus,Intel 19.0,4,GUIDED 1,4.5117
Cirrus,Intel 19.0,4,GUIDED 2,3.4083
Cirrus,Intel 19.0,4,GUIDED 4,2.6816
Cirrus,Intel 19.0,4,GUIDED 8,2.3494
Cirrus,Intel 19.0,4,GUIDED 16,2.5451
Cirrus,Intel 19.0,4,GUIDED 32,3.5128
