hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,64,STATIC,6.1095
ARCHER2,GNU 10.1,64,STATIC 1,4.1131
ARCHER2,GNU 10.1,64,STATIC 2,4.9437
ARCHER2,GNU 10.1,64,STATIC 4,4.2337
ARCHER2,GNU 10.1,64,STATIC 8,4.2829
ARCHER2,GNU 10.1,64,STATIC 16,4.1830
ARCHER2,GNU 10.1,64,STATIC 32,4.1461
ARCHER2,GNU 10.1,64,STATIC 64,4.2711
ARCHER2,GNU 10.1,64,STATIC 128,4.3495
ARCHER2,GNU 10.1,64,DYNAMIC 1,211.9756
ARCHER2,GNU 10.1,64,DYNAMIC 2,104.9982
ARCHER2,GNU 10.1,64,DYNAMIC 4,48.7179
ARCHER2,GNU 10.1,64,DYNAMIC 8,21.6139
ARCHER2,GNU 10.1,64,DYNAMIC 16,9.8257
ARCHER2,GNU 10.1,64,DYNAMIC 32,7.5986
ARCHER2,GNU 10.1,64,DYNAMIC 64,7.4328
ARCHER2,GNU 10.1,64,DYNAMIC 128,7.3496
ARCHER2,GNU 10.1,64,GUIDED 1,26.1813
ARCHER2,GNU 10.1,64,GUIDED 2,23.8544
