hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,64,STATIC,278.4763
Fulhame,ARM 20.0,64,STATIC 1,230.7801
Fulhame,ARM 20.0,64,STATIC 2,193.4717
Fulhame,ARM 20.0,64,STATIC 4,158.6557
Fulhame,ARM 20.0,64,STATIC 8,131.9288
Fulhame,ARM 20.0,64,STATIC 16,107.5929
Fulhame,ARM 20.0,64,STATIC 32,94.3869
Fulhame,ARM 20.0,64,STATIC 64,85.6810
Fulhame,ARM 20.0,64,STATIC 128,83.3971
Fulhame,ARM 20.0,64,DYNAMIC 1,10609.5008
Fulhame,ARM 20.0,64,DYNAMIC 2,5221.8993
Fulhame,ARM 20.0,64,DYNAMIC 4,2625.7330
Fulhame,ARM 20.0,64,DYNAMIC 8,1360.8963
Fulhame,ARM 20.0,64,DYNAMIC 16,702.5895
Fulhame,ARM 20.0,64,DYNAMIC 32,390.9251
Fulhame,ARM 20.0,64,DYNAMIC 64,213.7314
Fulhame,ARM 20.0,64,DYNAMIC 128,121.1306
Fulhame,ARM 20.0,64,GUIDED 1,1002.1720
Fulhame,ARM 20.0,64,GUIDED 2,820.2313
