hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,32,STATIC,8.1245
Cirrus,GNU 8.2,32,STATIC 1,8.1492
Cirrus,GNU 8.2,32,STATIC 2,8.1404
Cirrus,GNU 8.2,32,STATIC 4,8.2760
Cirrus,GNU 8.2,32,STATIC 8,8.3379
Cirrus,GNU 8.2,32,STATIC 16,8.3823
Cirrus,GNU 8.2,32,STATIC 32,8.3890
Cirrus,GNU 8.2,32,STATIC 64,8.3817
Cirrus,GNU 8.2,32,STATIC 128,8.3693
Cirrus,GNU 8.2,32,DYNAMIC 1,200.6418
Cirrus,GNU 8.2,32,DYNAMIC 2,100.8888
Cirrus,GNU 8.2,32,DYNAMIC 4,47.7047
Cirrus,GNU 8.2,32,DYNAMIC 8,19.2341
Cirrus,GNU 8.2,32,DYNAMIC 16,11.6188
Cirrus,GNU 8.2,32,DYNAMIC 32,12.1924
Cirrus,GNU 8.2,32,DYNAMIC 64,12.9142
Cirrus,GNU 8.2,32,DYNAMIC 128,13.0952
Cirrus,GNU 8.2,32,GUIDED 1,42.5243
Cirrus,GNU 8.2,32,GUIDED 2,38.9365
Cirrus,GNU 8.2,32,GUIDED 4,34.4378
