hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,2,STATIC,0.3621
Cirrus,GNU 8.2,2,STATIC 1,0.4980
Cirrus,GNU 8.2,2,STATIC 2,0.6440
Cirrus,GNU 8.2,2,STATIC 4,0.6546
Cirrus,GNU 8.2,2,STATIC 8,0.5424
Cirrus,GNU 8.2,2,STATIC 16,0.5464
Cirrus,GNU 8.2,2,STATIC 32,0.5693
Cirrus,GNU 8.2,2,STATIC 64,0.5843
Cirrus,GNU 8.2,2,STATIC 128,0.5737
Cirrus,GNU 8.2,2,DYNAMIC 1,15.2616
Cirrus,GNU 8.2,2,DYNAMIC 2,8.5236
Cirrus,GNU 8.2,2,DYNAMIC 4,5.5016
Cirrus,GNU 8.2,2,DYNAMIC 8,3.6243
Cirrus,GNU 8.2,2,DYNAMIC 16,2.7250
Cirrus,GNU 8.2,2,DYNAMIC 32,2.2539
Cirrus,GNU 8.2,2,DYNAMIC 64,2.0337
Cirrus,GNU 8.2,2,DYNAMIC 128,1.8897
Cirrus,GNU 8.2,2,GUIDED 1,2.1136
Cirrus,GNU 8.2,2,GUIDED 2,1.7356
Cirrus,GNU 8.2,2,GUIDED 4,2.0726
Cirrus,GNU 8.2,2,GUIDED 8,2.0240
Cirrus,GNU 8.2,2,GUIDED 16,1.9901
Cirrus,GNU 8.2,2,GUIDED 32,1.9118
Cirrus,GNU 8.2,2,GUIDED 64,1.8197
