hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,1,STATIC,0.3057
Cirrus,GNU 8.2,1,STATIC 1,0.4374
Cirrus,GNU 8.2,1,STATIC 2,0.5925
Cirrus,GNU 8.2,1,STATIC 4,0.5988
Cirrus,GNU 8.2,1,STATIC 8,0.4480
Cirrus,GNU 8.2,1,STATIC 16,0.3727
Cirrus,GNU 8.2,1,STATIC 32,0.3346
Cirrus,GNU 8.2,1,STATIC 64,0.3151
Cirrus,GNU 8.2,1,STATIC 128,0.2981
Cirrus,GNU 8.2,1,DYNAMIC 1,1.4849
Cirrus,GNU 8.2,1,DYNAMIC 2,0.9982
Cirrus,GNU 8.2,1,DYNAMIC 4,0.9740
Cirrus,GNU 8.2,1,DYNAMIC 8,0.6501
Cirrus,GNU 8.2,1,DYNAMIC 16,0.5140
Cirrus,GNU 8.2,1,DYNAMIC 32,0.4467
Cirrus,GNU 8.2,1,DYNAMIC 64,0.4334
Cirrus,GNU 8.2,1,DYNAMIC 128,0.4024
Cirrus,GNU 8.2,1,GUIDED 1,0.3665
Cirrus,GNU 8.2,1,GUIDED 2,0.3660
Cirrus,GNU 8.2,1,GUIDED 4,0.3629
Cirrus,GNU 8.2,1,GUIDED 8,0.3637
Cirrus,GNU 8.2,1,GUIDED 16,0.3656
Cirrus,GNU 8.2,1,GUIDED 32,0.3660
Cirrus,GNU 8.2,1,GUIDED 64,0.3655
Cirrus,GNU 8.2,1,GUIDED 128,0.3664
