hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,4,STATIC,0.6829
ARCHER2,Cray 10.0,4,STATIC 1,0.7413
ARCHER2,Cray 10.0,4,STATIC 2,0.6461
ARCHER2,Cray 10.0,4,STATIC 4,0.5915
ARCHER2,Cray 10.0,4,STATIC 8,0.5937
ARCHER2,Cray 10.0,4,STATIC 16,0.5799
ARCHER2,Cray 10.0,4,STATIC 32,0.5731
ARCHER2,Cray 10.0,4,STATIC 64,0.5701
ARCHER2,Cray 10.0,4,STATIC 128,0.5750
ARCHER2,Cray 10.0,4,DYNAMIC 1,42.8215
ARCHER2,Cray 10.0,4,DYNAMIC 2,15.5252
ARCHER2,Cray 10.0,4,DYNAMIC 4,4.1838
ARCHER2,Cray 10.0,4,DYNAMIC 8,2.4657
ARCHER2,Cray 10.0,4,DYNAMIC 16,1.5697
ARCHER2,Cray 10.0,4,DYNAMIC 32,1.0892
ARCHER2,Cray 10.0,4,DYNAMIC 64,0.8748
ARCHER2,Cray 10.0,4,DYNAMIC 128,0.7402
ARCHER2,Cray 10.0,4,GUIDED 1,2.8740
ARCHER2,Cray 10.0,4,GUIDED 2,2.1325
ARCHER2,Cray 10.0,4,GUIDED 4,1.6080
ARCHER2,Cray 10.0,4,GUIDED 8,1.3779
ARCHER2,Cray 10.0,4,GUIDED 16,1.6371
ARCHER2,Cray 10.0,4,GUIDED 32,2.6809
