hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 10.1,8,STATIC,0.8911
Fulhame,GNU 10.1,8,STATIC 1,1.0065
Fulhame,GNU 10.1,8,STATIC 2,1.0243
Fulhame,GNU 10.1,8,STATIC 4,1.2247
Fulhame,GNU 10.1,8,STATIC 8,1.3144
Fulhame,GNU 10.1,8,STATIC 16,1.5656
Fulhame,GNU 10.1,8,STATIC 32,1.9097
Fulhame,GNU 10.1,8,STATIC 64,2.2785
Fulhame,GNU 10.1,8,STATIC 128,2.4538
Fulhame,GNU 10.1,8,DYNAMIC 1,44.7655
Fulhame,GNU 10.1,8,DYNAMIC 2,23.5561
Fulhame,GNU 10.1,8,DYNAMIC 4,11.2633
Fulhame,GNU 10.1,8,DYNAMIC 8,7.2950
Fulhame,GNU 10.1,8,DYNAMIC 16,4.9877
Fulhame,GNU 10.1,8,DYNAMIC 32,3.9583
Fulhame,GNU 10.1,8,DYNAMIC 64,3.5171
Fulhame,GNU 10.1,8,DYNAMIC 128,3.3440
Fulhame,GNU 10.1,8,GUIDED 1,9.4878
Fulhame,GNU 10.1,8,GUIDED 2,8.2443
Fulhame,GNU 10.1,8,GUIDED 4,6.9825
Fulhame,GNU 10.1,8,GUIDED 8,5.8615
Fulhame,GNU 10.1,8,GUIDED 16,4.9151
