hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,128,STATIC,116.7603
ARCHER2,GNU 10.1,128,STATIC 1,7.3161
ARCHER2,GNU 10.1,128,STATIC 2,8.1675
ARCHER2,GNU 10.1,128,STATIC 4,7.4570
ARCHER2,GNU 10.1,128,STATIC 8,7.6561
ARCHER2,GNU 10.1,128,STATIC 16,7.3332
ARCHER2,GNU 10.1,128,STATIC 32,7.3022
ARCHER2,GNU 10.1,128,STATIC 64,7.4528
ARCHER2,GNU 10.1,128,STATIC 128,7.3766
ARCHER2,GNU 10.1,128,DYNAMIC 1,287.7850
ARCHER2,GNU 10.1,128,DYNAMIC 2,134.2543
ARCHER2,GNU 10.1,128,DYNAMIC 4,60.6147
ARCHER2,GNU 10.1,128,DYNAMIC 8,25.6120
ARCHER2,GNU 10.1,128,DYNAMIC 16,11.3130
ARCHER2,GNU 10.1,128,DYNAMIC 32,10.1633
ARCHER2,GNU 10.1,128,DYNAMIC 64,10.0046
ARCHER2,GNU 10.1,128,DYNAMIC 128,10.0504
ARCHER2,GNU 10.1,128,GUIDED 1,53.2902
