hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,1,STATIC,0.3469
Cirrus,GNU 6.3,1,STATIC 1,0.2088
Cirrus,GNU 6.3,1,STATIC 2,0.2728
Cirrus,GNU 6.3,1,STATIC 4,0.4721
Cirrus,GNU 6.3,1,STATIC 8,0.4040
Cirrus,GNU 6.3,1,STATIC 16,0.3110
Cirrus,GNU 6.3,1,STATIC 32,0.2109
Cirrus,GNU 6.3,1,STATIC 64,0.1900
Cirrus,GNU 6.3,1,STATIC 128,0.1602
Cirrus,GNU 6.3,1,DYNAMIC 1,1.2114
Cirrus,GNU 6.3,1,DYNAMIC 2,0.8779
Cirrus,GNU 6.3,1,DYNAMIC 4,0.9113
Cirrus,GNU 6.3,1,DYNAMIC 8,0.6854
Cirrus,GNU 6.3,1,DYNAMIC 16,0.5438
Cirrus,GNU 6.3,1,DYNAMIC 32,0.4736
Cirrus,GNU 6.3,1,DYNAMIC 64,0.4484
Cirrus,GNU 6.3,1,DYNAMIC 128,0.4052
Cirrus,GNU 6.3,1,GUIDED 1,0.4149
Cirrus,GNU 6.3,1,GUIDED 2,0.4188
Cirrus,GNU 6.3,1,GUIDED 4,0.4170
Cirrus,GNU 6.3,1,GUIDED 8,0.4268
Cirrus,GNU 6.3,1,GUIDED 16,0.4256
Cirrus,GNU 6.3,1,GUIDED 32,0.4234
Cirrus,GNU 6.3,1,GUIDED 64,0.4281
Cirrus,GNU 6.3,1,GUIDED 128,0.4350
