hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,16,STATIC,4.4170
ARCHER2,GNU 10.1,16,STATIC 1,3.7232
ARCHER2,GNU 10.1,16,STATIC 2,4.6366
ARCHER2,GNU 10.1,16,STATIC 4,3.8843
ARCHER2,GNU 10.1,16,STATIC 8,3.9666
ARCHER2,GNU 10.1,16,STATIC 16,3.9040
ARCHER2,GNU 10.1,16,STATIC 32,3.8553
ARCHER2,GNU 10.1,16,STATIC 64,3.8940
ARCHER2,GNU 10.1,16,STATIC 128,3.8895
ARCHER2,GNU 10.1,16,DYNAMIC 1,62.7425
ARCHER2,GNU 10.1,16,DYNAMIC 2,55.4009
ARCHER2,GNU 10.1,16,DYNAMIC 4,33.9614
ARCHER2,GNU 10.1,16,DYNAMIC 8,15.3422
ARCHER2,GNU 10.1,16,DYNAMIC 16,4.3623
ARCHER2,GNU 10.1,16,DYNAMIC 32,3.9442
ARCHER2,GNU 10.1,16,DYNAMIC 64,3.4171
ARCHER2,GNU 10.1,16,DYNAMIC 128,3.1792
ARCHER2,GNU 10.1,16,GUIDED 1,10.0399
ARCHER2,GNU 10.1,16,GUIDED 2,8.9844
ARCHER2,GNU 10.1,16,GUIDED 4,7.8404
ARCHER2,GNU 10.1,16,GUIDED 8,6.6962
