hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 10.1,2,STATIC,0.7542
Fulhame,GNU 10.1,2,STATIC 1,0.8575
Fulhame,GNU 10.1,2,STATIC 2,0.7259
Fulhame,GNU 10.1,2,STATIC 4,1.4498
Fulhame,GNU 10.1,2,STATIC 8,1.7389
Fulhame,GNU 10.1,2,STATIC 16,1.7835
Fulhame,GNU 10.1,2,STATIC 32,1.7240
Fulhame,GNU 10.1,2,STATIC 64,2.2673
Fulhame,GNU 10.1,2,STATIC 128,2.5157
Fulhame,GNU 10.1,2,DYNAMIC 1,17.1431
Fulhame,GNU 10.1,2,DYNAMIC 2,15.3363
Fulhame,GNU 10.1,2,DYNAMIC 4,9.3709
Fulhame,GNU 10.1,2,DYNAMIC 8,5.8559
Fulhame,GNU 10.1,2,DYNAMIC 16,4.6716
Fulhame,GNU 10.1,2,DYNAMIC 32,3.9074
Fulhame,GNU 10.1,2,DYNAMIC 64,3.4024
Fulhame,GNU 10.1,2,DYNAMIC 128,3.1839
Fulhame,GNU 10.1,2,GUIDED 1,2.8843
Fulhame,GNU 10.1,2,GUIDED 2,2.7127
Fulhame,GNU 10.1,2,GUIDED 4,2.7585
Fulhame,GNU 10.1,2,GUIDED 8,2.7333
Fulhame,GNU 10.1,2,GUIDED 16,2.7219
Fulhame,GNU 10.1,2,GUIDED 32,2.8068
Fulhame,GNU 10.1,2,GUIDED 64,2.7268
