hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,2,STATIC,0.4273
Cirrus,GNU 6.3,2,STATIC 1,0.2994
Cirrus,GNU 6.3,2,STATIC 2,0.4991
Cirrus,GNU 6.3,2,STATIC 4,0.6431
Cirrus,GNU 6.3,2,STATIC 8,0.5829
Cirrus,GNU 6.3,2,STATIC 16,0.5274
Cirrus,GNU 6.3,2,STATIC 32,0.5170
Cirrus,GNU 6.3,2,STATIC 64,0.5202
Cirrus,GNU 6.3,2,STATIC 128,0.5024
Cirrus,GNU 6.3,2,DYNAMIC 1,15.3422
Cirrus,GNU 6.3,2,DYNAMIC 2,8.5865
Cirrus,GNU 6.3,2,DYNAMIC 4,5.4956
Cirrus,GNU 6.3,2,DYNAMIC 8,3.7333
Cirrus,GNU 6.3,2,DYNAMIC 16,2.7053
Cirrus,GNU 6.3,2,DYNAMIC 32,2.1779
Cirrus,GNU 6.3,2,DYNAMIC 64,1.9345
Cirrus,GNU 6.3,2,DYNAMIC 128,1.7262
Cirrus,GNU 6.3,2,GUIDED 1,2.0832
Cirrus,GNU 6.3,2,GUIDED 2,1.8978
Cirrus,GNU 6.3,2,GUIDED 4,1.9880
Cirrus,GNU 6.3,2,GUIDED 8,2.0500
Cirrus,GNU 6.3,2,GUIDED 16,2.0327
Cirrus,GNU 6.3,2,GUIDED 32,1.9569
Cirrus,GNU 6.3,2,GUIDED 64,1.9215
