hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,2,STATIC,0.5585
Fulhame,ARM 20.0,2,STATIC 1,1.3286
Fulhame,ARM 20.0,2,STATIC 2,0.8881
Fulhame,ARM 20.0,2,STATIC 4,0.7017
Fulhame,ARM 20.0,2,STATIC 8,0.8874
Fulhame,ARM 20.0,2,STATIC 16,2.1418
Fulhame,ARM 20.0,2,STATIC 32,2.5173
Fulhame,ARM 20.0,2,STATIC 64,2.3151
Fulhame,ARM 20.0,2,STATIC 128,2.3364
Fulhame,ARM 20.0,2,DYNAMIC 1,50.7910
Fulhame,ARM 20.0,2,DYNAMIC 2,25.9225
Fulhame,ARM 20.0,2,DYNAMIC 4,15.1322
Fulhame,ARM 20.0,2,DYNAMIC 8,9.2727
Fulhame,ARM 20.0,2,DYNAMIC 16,5.8031
Fulhame,ARM 20.0,2,DYNAMIC 32,4.5415
Fulhame,ARM 20.0,2,DYNAMIC 64,3.6086
Fulhame,ARM 20.0,2,DYNAMIC 128,2.8553
Fulhame,ARM 20.0,2,GUIDED 1,6.2904
Fulhame,ARM 20.0,2,GUIDED 2,5.6788
Fulhame,ARM 20.0,2,GUIDED 4,4.8963
Fulhame,ARM 20.0,2,GUIDED 8,4.2735
Fulhame,ARM 20.0,2,GUIDED 16,4.1893
Fulhame,ARM 20.0,2,GUIDED 32,3.2375
Fulhame,ARM 20.0,2,GUIDED 64,3.1803
