hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,4,STATIC,-0.0007
ARCHER2,AOCC 2.1,4,STATIC 1,0.1842
ARCHER2,AOCC 2.1,4,STATIC 2,0.1075
ARCHER2,AOCC 2.1,4,STATIC 4,0.1225
ARCHER2,AOCC 2.1,4,STATIC 8,0.2005
ARCHER2,AOCC 2.1,4,STATIC 16,0.1664
ARCHER2,AOCC 2.1,4,STATIC 32,0.1655
ARCHER2,AOCC 2.1,4,STATIC 64,0.1841
ARCHER2,AOCC 2.1,4,STATIC 128,0.2548
ARCHER2,AOCC 2.1,4,DYNAMIC 1,6.9344
ARCHER2,AOCC 2.1,4,DYNAMIC 2,6.5986
ARCHER2,AOCC 2.1,4,DYNAMIC 4,3.8092
ARCHER2,AOCC 2.1,4,DYNAMIC 8,2.5670
ARCHER2,AOCC 2.1,4,DYNAMIC 16,1.8380
ARCHER2,AOCC 2.1,4,DYNAMIC 32,1.4258
ARCHER2,AOCC 2.1,4,DYNAMIC 64,1.1775
ARCHER2,AOCC 2.1,4,DYNAMIC 128,0.9999
ARCHER2,AOCC 2.1,4,GUIDED 1,4.0822
ARCHER2,AOCC 2.1,4,GUIDED 2,3.3285
ARCHER2,AOCC 2.1,4,GUIDED 4,2.6783
ARCHER2,AOCC 2.1,4,GUIDED 8,2.0773
ARCHER2,AOCC 2.1,4,GUIDED 16,2.0693
ARCHER2,AOCC 2.1,4,GUIDED 32,2.8620
