hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,4,STATIC,0.4255
Cirrus,GNU 6.3,4,STATIC 1,0.3535
Cirrus,GNU 6.3,4,STATIC 2,0.4225
Cirrus,GNU 6.3,4,STATIC 4,0.6366
Cirrus,GNU 6.3,4,STATIC 8,0.6272
Cirrus,GNU 6.3,4,STATIC 16,0.6018
Cirrus,GNU 6.3,4,STATIC 32,0.6060
Cirrus,GNU 6.3,4,STATIC 64,0.5761
Cirrus,GNU 6.3,4,STATIC 128,0.5736
Cirrus,GNU 6.3,4,DYNAMIC 1,32.3634
Cirrus,GNU 6.3,4,DYNAMIC 2,9.6672
Cirrus,GNU 6.3,4,DYNAMIC 4,6.4662
Cirrus,GNU 6.3,4,DYNAMIC 8,4.4663
Cirrus,GNU 6.3,4,DYNAMIC 16,3.7710
Cirrus,GNU 6.3,4,DYNAMIC 32,2.8270
Cirrus,GNU 6.3,4,DYNAMIC 64,2.4387
Cirrus,GNU 6.3,4,DYNAMIC 128,2.2709
Cirrus,GNU 6.3,4,GUIDED 1,3.7946
Cirrus,GNU 6.3,4,GUIDED 2,3.3912
Cirrus,GNU 6.3,4,GUIDED 4,3.0198
Cirrus,GNU 6.3,4,GUIDED 8,2.9088
Cirrus,GNU 6.3,4,GUIDED 16,3.0933
Cirrus,GNU 6.3,4,GUIDED 32,2.7185
