hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,16,STATIC,64.3864
ARCHER2,AOCC 2.1,16,STATIC 1,59.4427
ARCHER2,AOCC 2.1,16,STATIC 2,60.3658
ARCHER2,AOCC 2.1,16,STATIC 4,62.4279
ARCHER2,AOCC 2.1,16,STATIC 8,52.1772
ARCHER2,AOCC 2.1,16,STATIC 16,52.1192
ARCHER2,AOCC 2.1,16,STATIC 32,40.0566
ARCHER2,AOCC 2.1,16,STATIC 64,31.6267
ARCHER2,AOCC 2.1,16,STATIC 128,11.0153
ARCHER2,AOCC 2.1,16,DYNAMIC 1,130.7543
ARCHER2,AOCC 2.1,16,DYNAMIC 2,60.5373
ARCHER2,AOCC 2.1,16,DYNAMIC 4,29.8872
ARCHER2,AOCC 2.1,16,DYNAMIC 8,7.8051
ARCHER2,AOCC 2.1,16,DYNAMIC 16,-4.2996
ARCHER2,AOCC 2.1,16,DYNAMIC 32,-5.5650
ARCHER2,AOCC 2.1,16,DYNAMIC 64,-5.6290
ARCHER2,AOCC 2.1,16,DYNAMIC 128,-5.8952
ARCHER2,AOCC 2.1,16,GUIDED 1,10.8114
ARCHER2,AOCC 2.1,16,GUIDED 2,7.0357
ARCHER2,AOCC 2.1,16,GUIDED 4,3.8902
ARCHER2,AOCC 2.1,16,GUIDED 8,0.9373
