hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,2,PRIVATE 27,0.3758
ARCHER2,GNU 10.1,2,FIRSTPRIVATE 27,0.3824
ARCHER2,GNU 10.1,2,COPYPRIVATE 27,0.7224
ARCHER2,GNU 10.1,2,COPYIN 27,0.5615
