hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,1,PRIVATE 59049,0.1109
ARCHER2,AOCC 2.1,1,FIRSTPRIVATE 59049,10.7154
ARCHER2,AOCC 2.1,1,COPYPRIVATE 59049,0.1478
ARCHER2,AOCC 2.1,1,COPYIN 59049,0.1316
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,128,PRIVATE 59049,437.5081
ARCHER2,AOCC 2.1,128,FIRSTPRIVATE 59049,915.7693
ARCHER2,AOCC 2.1,128,COPYPRIVATE 59049,839.1518
ARCHER2,AOCC 2.1,128,COPYIN 59049,248.1677
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,16,PRIVATE 59049,41.4660
ARCHER2,AOCC 2.1,16,FIRSTPRIVATE 59049,90.0138
ARCHER2,AOCC 2.1,16,COPYPRIVATE 59049,321.7293
ARCHER2,AOCC 2.1,16,COPYIN 59049,117.5607
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,2,PRIVATE 59049,0.4265
ARCHER2,AOCC 2.1,2,FIRSTPRIVATE 59049,11.0075
ARCHER2,AOCC 2.1,2,COPYPRIVATE 59049,12.6773
ARCHER2,AOCC 2.1,2,COPYIN 59049,12.3201
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,32,PRIVATE 59049,158.0870
ARCHER2,AOCC 2.1,32,FIRSTPRIVATE 59049,567.5027
ARCHER2,AOCC 2.1,32,COPYPRIVATE 59049,420.3895
ARCHER2,AOCC 2.1,32,COPYIN 59049,97.7303
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,4,PRIVATE 59049,0.4111
ARCHER2,AOCC 2.1,4,FIRSTPRIVATE 59049,13.7581
ARCHER2,AOCC 2.1,4,COPYPRIVATE 59049,18.3781
ARCHER2,AOCC 2.1,4,COPYIN 59049,12.6190
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,64,PRIVATE 59049,306.7704
ARCHER2,AOCC 2.1,64,FIRSTPRIVATE 59049,756.8086
ARCHER2,AOCC 2.1,64,COPYPRIVATE 59049,649.4560
ARCHER2,AOCC 2.1,64,COPYIN 59049,153.5156
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,8,PRIVATE 59049,0.8253
ARCHER2,AOCC 2.1,8,FIRSTPRIVATE 59049,26.0470
ARCHER2,AOCC 2.1,8,COPYPRIVATE 59049,51.7313
ARCHER2,AOCC 2.1,8,COPYIN 59049,23.5292
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,1,PRIVATE 59049,0.0966
ARCHER2,Cray 10.0,1,FIRSTPRIVATE 59049,9.7275
ARCHER2,Cray 10.0,1,COPYPRIVATE 59049,0.1270
ARCHER2,Cray 10.0,1,COPYIN 59049,0.1111
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,128,PRIVATE 59049,219.6695
ARCHER2,Cray 10.0,128,FIRSTPRIVATE 59049,261.3361
ARCHER2,Cray 10.0,128,COPYPRIVATE 59049,223.6815
ARCHER2,Cray 10.0,128,COPYIN 59049,189.6943
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,16,PRIVATE 59049,2.5488
ARCHER2,Cray 10.0,16,FIRSTPRIVATE 59049,12.6858
ARCHER2,Cray 10.0,16,COPYPRIVATE 59049,64.7792
ARCHER2,Cray 10.0,16,COPYIN 59049,29.5206
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,2,PRIVATE 59049,0.8851
ARCHER2,Cray 10.0,2,FIRSTPRIVATE 59049,10.7341
ARCHER2,Cray 10.0,2,COPYPRIVATE 59049,13.1322
ARCHER2,Cray 10.0,2,COPYIN 59049,12.3763
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,32,PRIVATE 59049,1.5434
ARCHER2,Cray 10.0,32,FIRSTPRIVATE 59049,12.5820
ARCHER2,Cray 10.0,32,COPYPRIVATE 59049,61.6401
ARCHER2,Cray 10.0,32,COPYIN 59049,20.2874
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,4,PRIVATE 59049,1.2375
ARCHER2,Cray 10.0,4,FIRSTPRIVATE 59049,11.2472
ARCHER2,Cray 10.0,4,COPYPRIVATE 59049,17.3000
ARCHER2,Cray 10.0,4,COPYIN 59049,13.3376
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,64,PRIVATE 59049,2.1232
ARCHER2,Cray 10.0,64,FIRSTPRIVATE 59049,16.9448
ARCHER2,Cray 10.0,64,COPYPRIVATE 59049,180.4963
ARCHER2,Cray 10.0,64,COPYIN 59049,38.2048
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,8,PRIVATE 59049,1.6427
ARCHER2,Cray 10.0,8,FIRSTPRIVATE 59049,11.8570
ARCHER2,Cray 10.0,8,COPYPRIVATE 59049,92.2242
ARCHER2,Cray 10.0,8,COPYIN 59049,14.4528
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,1,PRIVATE 59049,0.1815
ARCHER2,GNU 10.1,1,FIRSTPRIVATE 59049,10.9643
ARCHER2,GNU 10.1,1,COPYPRIVATE 59049,0.3926
ARCHER2,GNU 10.1,1,COPYIN 59049,0.2850
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,128,PRIVATE 59049,22.3787
ARCHER2,GNU 10.1,128,FIRSTPRIVATE 59049,92.3038
ARCHER2,GNU 10.1,128,COPYPRIVATE 59049,347.5930
ARCHER2,GNU 10.1,128,COPYIN 59049,101.1962
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,16,PRIVATE 59049,3.1069
ARCHER2,GNU 10.1,16,FIRSTPRIVATE 59049,25.7478
ARCHER2,GNU 10.1,16,COPYPRIVATE 59049,197.4610
ARCHER2,GNU 10.1,16,COPYIN 59049,26.6152
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,2,PRIVATE 59049,0.3764
ARCHER2,GNU 10.1,2,FIRSTPRIVATE 59049,11.8839
ARCHER2,GNU 10.1,2,COPYPRIVATE 59049,12.4168
ARCHER2,GNU 10.1,2,COPYIN 59049,12.0483
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,32,PRIVATE 59049,5.8533
ARCHER2,GNU 10.1,32,FIRSTPRIVATE 59049,29.3702
ARCHER2,GNU 10.1,32,COPYPRIVATE 59049,215.9267
ARCHER2,GNU 10.1,32,COPYIN 59049,30.8252
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,4,PRIVATE 59049,0.4389
ARCHER2,GNU 10.1,4,FIRSTPRIVATE 59049,12.3049
ARCHER2,GNU 10.1,4,COPYPRIVATE 59049,25.7883
ARCHER2,GNU 10.1,4,COPYIN 59049,12.5034
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,64,PRIVATE 59049,11.0500
ARCHER2,GNU 10.1,64,FIRSTPRIVATE 59049,47.3765
ARCHER2,GNU 10.1,64,COPYPRIVATE 59049,258.3000
ARCHER2,GNU 10.1,64,COPYIN 59049,53.5517
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,8,PRIVATE 59049,0.9563
ARCHER2,GNU 10.1,8,FIRSTPRIVATE 59049,23.7379
ARCHER2,GNU 10.1,8,COPYPRIVATE 59049,95.9521
ARCHER2,GNU 10.1,8,COPYIN 59049,23.0604
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,1,PRIVATE 59049,0.4379
Cirrus,GNU 6.3,1,FIRSTPRIVATE 59049,22.7787
Cirrus,GNU 6.3,1,COPYPRIVATE 59049,1.1337
Cirrus,GNU 6.3,1,COPYIN 59049,0.7657
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,16,PRIVATE 59049,3.2950
Cirrus,GNU 6.3,16,FIRSTPRIVATE 59049,35.5370
Cirrus,GNU 6.3,16,COPYPRIVATE 59049,72.0277
Cirrus,GNU 6.3,16,COPYIN 59049,46.2677
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,2,PRIVATE 59049,1.0365
Cirrus,GNU 6.3,2,FIRSTPRIVATE 59049,23.1099
Cirrus,GNU 6.3,2,COPYPRIVATE 59049,38.1373
Cirrus,GNU 6.3,2,COPYIN 59049,37.9602
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,32,PRIVATE 59049,5.4021
Cirrus,GNU 6.3,32,FIRSTPRIVATE 59049,49.9594
Cirrus,GNU 6.3,32,COPYPRIVATE 59049,90.5062
Cirrus,GNU 6.3,32,COPYIN 59049,80.4176
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,4,PRIVATE 59049,1.3072
Cirrus,GNU 6.3,4,FIRSTPRIVATE 59049,24.0972
Cirrus,GNU 6.3,4,COPYPRIVATE 59049,54.4511
Cirrus,GNU 6.3,4,COPYIN 59049,40.4985
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,8,PRIVATE 59049,1.9240
Cirrus,GNU 6.3,8,FIRSTPRIVATE 59049,25.3454
Cirrus,GNU 6.3,8,COPYPRIVATE 59049,58.7795
Cirrus,GNU 6.3,8,COPYIN 59049,41.9108
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,1,PRIVATE 59049,0.4303
Cirrus,GNU 8.2,1,FIRSTPRIVATE 59049,21.9949
Cirrus,GNU 8.2,1,COPYPRIVATE 59049,1.1246
Cirrus,GNU 8.2,1,COPYIN 59049,0.7548
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,16,PRIVATE 59049,3.2298
Cirrus,GNU 8.2,16,FIRSTPRIVATE 59049,30.0412
Cirrus,GNU 8.2,16,COPYPRIVATE 59049,75.3561
Cirrus,GNU 8.2,16,COPYIN 59049,46.2159
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,2,PRIVATE 59049,1.0261
