hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,1,PRIVATE 6561,0.1138
ARCHER2,AOCC 2.1,1,FIRSTPRIVATE 6561,1.2072
ARCHER2,AOCC 2.1,1,COPYPRIVATE 6561,0.1507
ARCHER2,AOCC 2.1,1,COPYIN 6561,0.1359
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,128,PRIVATE 6561,443.9886
ARCHER2,AOCC 2.1,128,FIRSTPRIVATE 6561,319.9180
ARCHER2,AOCC 2.1,128,COPYPRIVATE 6561,630.9766
ARCHER2,AOCC 2.1,128,COPYIN 6561,321.6896
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,16,PRIVATE 6561,50.0602
ARCHER2,AOCC 2.1,16,FIRSTPRIVATE 6561,55.5866
ARCHER2,AOCC 2.1,16,COPYPRIVATE 6561,160.2013
ARCHER2,AOCC 2.1,16,COPYIN 6561,98.3673
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,2,PRIVATE 6561,0.3711
ARCHER2,AOCC 2.1,2,FIRSTPRIVATE 6561,1.4554
ARCHER2,AOCC 2.1,2,COPYPRIVATE 6561,1.8520
ARCHER2,AOCC 2.1,2,COPYIN 6561,1.6478
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,32,PRIVATE 6561,162.3076
ARCHER2,AOCC 2.1,32,FIRSTPRIVATE 6561,160.0909
ARCHER2,AOCC 2.1,32,COPYPRIVATE 6561,456.3370
ARCHER2,AOCC 2.1,32,COPYIN 6561,175.9651
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,4,PRIVATE 6561,0.4632
ARCHER2,AOCC 2.1,4,FIRSTPRIVATE 6561,1.9290
ARCHER2,AOCC 2.1,4,COPYPRIVATE 6561,4.5260
ARCHER2,AOCC 2.1,4,COPYIN 6561,1.8621
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,64,PRIVATE 6561,276.5872
ARCHER2,AOCC 2.1,64,FIRSTPRIVATE 6561,268.5184
ARCHER2,AOCC 2.1,64,COPYPRIVATE 6561,539.5040
ARCHER2,AOCC 2.1,64,COPYIN 6561,223.2637
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,8,PRIVATE 6561,0.6157
ARCHER2,AOCC 2.1,8,FIRSTPRIVATE 6561,3.4685
