hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
ARCHER2,GNU 10.1,1,PRIVATE 1,0.1791,Array
ARCHER2,GNU 10.1,1,FIRSTPRIVATE 1,0.1787,Array
ARCHER2,GNU 10.1,1,COPYPRIVATE 1,0.3881,Array
ARCHER2,GNU 10.1,1,COPYIN 1,0.2767,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,128,PRIVATE 1,32.9849,Array
ARCHER2,GNU 10.1,128,FIRSTPRIVATE 1,22.1011,Array
ARCHER2,GNU 10.1,128,COPYPRIVATE 1,31.1186,Array
ARCHER2,GNU 10.1,128,COPYIN 1,24.3601,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,16,PRIVATE 1,3.6723,Array
ARCHER2,GNU 10.1,16,FIRSTPRIVATE 1,2.9504,Array
ARCHER2,GNU 10.1,16,COPYPRIVATE 1,5.4663,Array
ARCHER2,GNU 10.1,16,COPYIN 1,3.9685,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,2,PRIVATE 1,0.3758,Array
ARCHER2,GNU 10.1,2,FIRSTPRIVATE 1,0.371,Array
ARCHER2,GNU 10.1,2,COPYPRIVATE 1,0.6999,Array
ARCHER2,GNU 10.1,2,COPYIN 1,0.5506,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,32,PRIVATE 1,6.256,Array
ARCHER2,GNU 10.1,32,FIRSTPRIVATE 1,6.0613,Array
ARCHER2,GNU 10.1,32,COPYPRIVATE 1,10.3256,Array
ARCHER2,GNU 10.1,32,COPYIN 1,7.6691,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,4,PRIVATE 1,0.4381,Array
ARCHER2,GNU 10.1,4,FIRSTPRIVATE 1,0.4393,Array
ARCHER2,GNU 10.1,4,COPYPRIVATE 1,1.1269,Array
ARCHER2,GNU 10.1,4,COPYIN 1,0.6666,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,64,PRIVATE 1,14.4098,Array
ARCHER2,GNU 10.1,64,FIRSTPRIVATE 1,10.3721,Array
ARCHER2,GNU 10.1,64,COPYPRIVATE 1,15.7867,Array
ARCHER2,GNU 10.1,64,COPYIN 1,12.3236,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,GNU 10.1,8,PRIVATE 1,1.0068,Array
ARCHER2,GNU 10.1,8,FIRSTPRIVATE 1,0.9965,Array
ARCHER2,GNU 10.1,8,COPYPRIVATE 1,2.3163,Array
ARCHER2,GNU 10.1,8,COPYIN 1,1.4573,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,1,PRIVATE 1,0.4313,Array
Cirrus,GNU 6.3,1,FIRSTPRIVATE 1,0.4316,Array
Cirrus,GNU 6.3,1,COPYPRIVATE 1,1.1192,Array
Cirrus,GNU 6.3,1,COPYIN 1,0.7565,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,16,PRIVATE 1,3.2276,Array
Cirrus,GNU 6.3,16,FIRSTPRIVATE 1,3.2453,Array
Cirrus,GNU 6.3,16,COPYPRIVATE 1,6.6544,Array
