hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,1,PRIVATE 9,0.2777
Fulhame,ARM 20.0,1,FIRSTPRIVATE 9,0.2972
Fulhame,ARM 20.0,1,COPYPRIVATE 9,0.3720
Fulhame,ARM 20.0,1,COPYIN 9,0.3203
