hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 10.1,64,PARALLEL TASK,2527.5213
Fulhame,GNU 10.1,64,MASTER TASK,7722.1718
Fulhame,GNU 10.1,64,MASTER TASK BUSY SLAVES,117.9915
Fulhame,GNU 10.1,64,CONDITIONAL TASK,0.0355
Fulhame,GNU 10.1,64,TASK WAIT,5974.0053
Fulhame,GNU 10.1,64,TASK BARRIER,6085.8165
Fulhame,GNU 10.1,64,NESTED TASK,1349.3444
Fulhame,GNU 10.1,64,NESTED MASTER TASK,3929.4243
Fulhame,GNU 10.1,64,BRANCH TASK TREE,1133.3208
Fulhame,GNU 10.1,64,LEAF TASK TREE,1121.4932
