hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,Intel 19.0,1,PARALLEL,0.1456
Cirrus,Intel 19.0,1,FOR,0.0272
Cirrus,Intel 19.0,1,PARALLEL FOR,0.1713
Cirrus,Intel 19.0,1,BARRIER,0.0098
Cirrus,Intel 19.0,1,SINGLE,0.0262
Cirrus,Intel 19.0,1,CRITICAL,0.0375
Cirrus,Intel 19.0,1,LOCK/UNLOCK,0.0376
Cirrus,Intel 19.0,1,ORDERED,0.0180
Cirrus,Intel 19.0,1,ATOMIC,0.0135
Cirrus,Intel 19.0,1,REDUCTION,0.1679
