hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,32,PRIVATE 729,1.5040
ARCHER2,Cray 10.0,32,FIRSTPRIVATE 729,1.8968
ARCHER2,Cray 10.0,32,COPYPRIVATE 729,8.5189
ARCHER2,Cray 10.0,32,COPYIN 729,3.5408
