hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,1,PRIVATE 729,0.1105
ARCHER2,AOCC 2.1,1,FIRSTPRIVATE 729,0.2205
ARCHER2,AOCC 2.1,1,COPYPRIVATE 729,0.1453
ARCHER2,AOCC 2.1,1,COPYIN 729,0.1304
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,128,PRIVATE 729,386.1716
ARCHER2,AOCC 2.1,128,FIRSTPRIVATE 729,274.3863
ARCHER2,AOCC 2.1,128,COPYPRIVATE 729,595.6102
ARCHER2,AOCC 2.1,128,COPYIN 729,282.8049
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,16,PRIVATE 729,52.0135
ARCHER2,AOCC 2.1,16,FIRSTPRIVATE 729,52.1843
ARCHER2,AOCC 2.1,16,COPYPRIVATE 729,168.7119
ARCHER2,AOCC 2.1,16,COPYIN 729,101.0617
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,2,PRIVATE 729,0.3716
ARCHER2,AOCC 2.1,2,FIRSTPRIVATE 729,0.4891
ARCHER2,AOCC 2.1,2,COPYPRIVATE 729,0.7655
ARCHER2,AOCC 2.1,2,COPYIN 729,0.6100
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,32,PRIVATE 729,162.9003
ARCHER2,AOCC 2.1,32,FIRSTPRIVATE 729,157.2344
ARCHER2,AOCC 2.1,32,COPYPRIVATE 729,416.9423
ARCHER2,AOCC 2.1,32,COPYIN 729,138.3686
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,4,PRIVATE 729,0.5430
ARCHER2,AOCC 2.1,4,FIRSTPRIVATE 729,0.6777
ARCHER2,AOCC 2.1,4,COPYPRIVATE 729,1.5579
ARCHER2,AOCC 2.1,4,COPYIN 729,0.9864
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,64,PRIVATE 729,296.5248
ARCHER2,AOCC 2.1,64,FIRSTPRIVATE 729,228.3114
ARCHER2,AOCC 2.1,64,COPYPRIVATE 729,492.8157
ARCHER2,AOCC 2.1,64,COPYIN 729,228.7563
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,8,PRIVATE 729,0.6620
ARCHER2,AOCC 2.1,8,FIRSTPRIVATE 729,0.8704
ARCHER2,AOCC 2.1,8,COPYPRIVATE 729,1.9225
ARCHER2,AOCC 2.1,8,COPYIN 729,1.2708
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,1,PRIVATE 729,0.0968
ARCHER2,Cray 10.0,1,FIRSTPRIVATE 729,0.1611
ARCHER2,Cray 10.0,1,COPYPRIVATE 729,0.1268
ARCHER2,Cray 10.0,1,COPYIN 729,0.1109
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,128,PRIVATE 729,220.5204
ARCHER2,Cray 10.0,128,FIRSTPRIVATE 729,225.2357
ARCHER2,Cray 10.0,128,COPYPRIVATE 729,90.1358
ARCHER2,Cray 10.0,128,COPYIN 729,76.4483
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,16,PRIVATE 729,2.5391
ARCHER2,Cray 10.0,16,FIRSTPRIVATE 729,2.9511
ARCHER2,Cray 10.0,16,COPYPRIVATE 729,8.1913
ARCHER2,Cray 10.0,16,COPYIN 729,4.3695
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,2,PRIVATE 729,0.8911
ARCHER2,Cray 10.0,2,FIRSTPRIVATE 729,1.2057
ARCHER2,Cray 10.0,2,COPYPRIVATE 729,2.1717
ARCHER2,Cray 10.0,2,COPYIN 729,1.5119
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,32,PRIVATE 729,1.5040
ARCHER2,Cray 10.0,32,FIRSTPRIVATE 729,1.8968
ARCHER2,Cray 10.0,32,COPYPRIVATE 729,8.5189
ARCHER2,Cray 10.0,32,COPYIN 729,3.5408
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,4,PRIVATE 729,1.2270
ARCHER2,Cray 10.0,4,FIRSTPRIVATE 729,1.6524
ARCHER2,Cray 10.0,4,COPYPRIVATE 729,3.7973
ARCHER2,Cray 10.0,4,COPYIN 729,2.1836
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,64,PRIVATE 729,2.0624
ARCHER2,Cray 10.0,64,FIRSTPRIVATE 729,2.5086
ARCHER2,Cray 10.0,64,COPYPRIVATE 729,11.7167
ARCHER2,Cray 10.0,64,COPYIN 729,4.7181
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,8,PRIVATE 729,1.6544
ARCHER2,Cray 10.0,8,FIRSTPRIVATE 729,2.0334
ARCHER2,Cray 10.0,8,COPYPRIVATE 729,5.1776
ARCHER2,Cray 10.0,8,COPYIN 729,3.3211
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,1,PRIVATE 729,0.1771
ARCHER2,GNU 10.1,1,FIRSTPRIVATE 729,0.2548
ARCHER2,GNU 10.1,1,COPYPRIVATE 729,0.3842
ARCHER2,GNU 10.1,1,COPYIN 729,0.2790
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,128,PRIVATE 729,23.0463
ARCHER2,GNU 10.1,128,FIRSTPRIVATE 729,23.2719
ARCHER2,GNU 10.1,128,COPYPRIVATE 729,35.0498
ARCHER2,GNU 10.1,128,COPYIN 729,25.5823
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,16,PRIVATE 729,3.2450
ARCHER2,GNU 10.1,16,FIRSTPRIVATE 729,3.2524
ARCHER2,GNU 10.1,16,COPYPRIVATE 729,7.4828
ARCHER2,GNU 10.1,16,COPYIN 729,4.6612
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,2,PRIVATE 729,0.3748
ARCHER2,GNU 10.1,2,FIRSTPRIVATE 729,0.4571
ARCHER2,GNU 10.1,2,COPYPRIVATE 729,0.7955
ARCHER2,GNU 10.1,2,COPYIN 729,0.5030
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,32,PRIVATE 729,5.8725
ARCHER2,GNU 10.1,32,FIRSTPRIVATE 729,6.0580
ARCHER2,GNU 10.1,32,COPYPRIVATE 729,11.3171
ARCHER2,GNU 10.1,32,COPYIN 729,7.2574
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,4,PRIVATE 729,0.4930
ARCHER2,GNU 10.1,4,FIRSTPRIVATE 729,0.5706
ARCHER2,GNU 10.1,4,COPYPRIVATE 729,1.3277
ARCHER2,GNU 10.1,4,COPYIN 729,0.8140
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,64,PRIVATE 729,11.2324
ARCHER2,GNU 10.1,64,FIRSTPRIVATE 729,11.2384
ARCHER2,GNU 10.1,64,COPYPRIVATE 729,18.6266
ARCHER2,GNU 10.1,64,COPYIN 729,12.9355
hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,8,PRIVATE 729,1.0290
ARCHER2,GNU 10.1,8,FIRSTPRIVATE 729,1.1857
ARCHER2,GNU 10.1,8,COPYPRIVATE 729,2.7890
ARCHER2,GNU 10.1,8,COPYIN 729,1.5972
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,1,PRIVATE 729,0.4397
Cirrus,GNU 6.3,1,FIRSTPRIVATE 729,0.5604
Cirrus,GNU 6.3,1,COPYPRIVATE 729,1.1361
Cirrus,GNU 6.3,1,COPYIN 729,0.7694
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,16,PRIVATE 729,3.2531
Cirrus,GNU 6.3,16,FIRSTPRIVATE 729,3.3403
Cirrus,GNU 6.3,16,COPYPRIVATE 729,7.1137
Cirrus,GNU 6.3,16,COPYIN 729,4.6482
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,2,PRIVATE 729,1.0375
Cirrus,GNU 6.3,2,FIRSTPRIVATE 729,1.1623
Cirrus,GNU 6.3,2,COPYPRIVATE 729,2.1902
Cirrus,GNU 6.3,2,COPYIN 729,1.7091
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,32,PRIVATE 729,5.3699
Cirrus,GNU 6.3,32,FIRSTPRIVATE 729,5.6968
Cirrus,GNU 6.3,32,COPYPRIVATE 729,9.3583
Cirrus,GNU 6.3,32,COPYIN 729,7.2427
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,4,PRIVATE 729,1.3339
Cirrus,GNU 6.3,4,FIRSTPRIVATE 729,1.4632
Cirrus,GNU 6.3,4,COPYPRIVATE 729,3.2263
Cirrus,GNU 6.3,4,COPYIN 729,1.8788
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,8,PRIVATE 729,1.9390
Cirrus,GNU 6.3,8,FIRSTPRIVATE 729,2.0406
Cirrus,GNU 6.3,8,COPYPRIVATE 729,4.4964
Cirrus,GNU 6.3,8,COPYIN 729,2.7130
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,1,PRIVATE 729,0.4315
Cirrus,GNU 8.2,1,FIRSTPRIVATE 729,0.5412
Cirrus,GNU 8.2,1,COPYPRIVATE 729,1.1288
Cirrus,GNU 8.2,1,COPYIN 729,0.7596
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,16,PRIVATE 729,3.2268
Cirrus,GNU 8.2,16,FIRSTPRIVATE 729,3.3181
Cirrus,GNU 8.2,16,COPYPRIVATE 729,7.0075
Cirrus,GNU 8.2,16,COPYIN 729,4.6611
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,2,PRIVATE 729,1.0157
Cirrus,GNU 8.2,2,FIRSTPRIVATE 729,1.1440
Cirrus,GNU 8.2,2,COPYPRIVATE 729,2.0478
Cirrus,GNU 8.2,2,COPYIN 729,1.6572
hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 8.2,32,PRIVATE 729,5.7617
Cirrus,GNU 8.2,32,FIRSTPRIVATE 729,6.0659
